Encoded Architecture,Loss,Accuracy,Precision,Recall,F1,Specificity
"[3, 0, 0, 0, 7, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 6, 24, 2, 0, 2, 0, 0, 0, 4, 343, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]",0.6931789875030517,0.5,0.5089697590978985,0.6524310118265441,0.5718399078606392,0.37056504599211565
"[0, 26, 1, 0, 8, 1, 2, 0, 2, 0, 0, 0, 4, 18, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]",0.6953508186340333,0.5,0.499302649930265,0.4704336399474376,0.4844384303112314,0.5282522996057819
"[5, 0, 0, 0, 7, 0, 0, 0, 4, 390, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 4, 69, 0, 0, 4, 394, 0, 0, 1, 4, 0, 0]",0.6933232736587525,0.5,0.4963406520292748,0.49014454664914586,0.4932231404958678,0.5026281208935611
"[0, 28, 0, 0, 5, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 7, 0, 0, 0, 8, 2, 2, 0, 7, 0, 0, 0, 1, 4, 0, 0, 3, 0, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0]",0.7039900207519532,0.5,0.4920844327176781,0.49014454664914586,0.4911125740618828,0.4940867279894875
"[4, 296, 0, 0, 1, 4, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 4, 88, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]",0.6939230585098266,0.5,0.5166959578207382,0.5795006570302234,0.5462991638278105,0.4579500657030223
"[0, 19, 0, 0, 2, 1, 0, 0, 8, 1, 2, 0, 1, 4, 0, 0, 3, 0, 0, 0, 7, 0, 0, 0, 3, 0, 0, 0, 7, 0, 0, 0, 4, 446, 0, 0, 4, 266, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0]",0.6937940001487732,0.5,0.4994813278008299,0.6327201051248358,0.5582608695652174,0.3659658344283837
"[3, 0, 0, 0, 2, 0, 0, 0, 7, 0, 0, 0, 8, 3, 2, 0, 7, 0, 0, 0, 7, 0, 0, 0, 6, 58, 1, 0, 8, 1, 2, 0, 7, 0, 0, 0, 7, 0, 0, 0, 2, 1, 0, 0, 1, 4, 0, 0]",0.7071153259277344,0.5,0.49685929648241206,0.5197109067017083,0.5080282594733462,0.47371879106438897
"[7, 0, 0, 0, 3, 0, 0, 0, 0, 11, 1, 0, 0, 27, 0, 0, 2, 0, 0, 0, 7, 0, 0, 0, 4, 250, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 4, 144, 0, 0, 7, 0, 0, 0]",0.6943242931365967,0.5,0.5049786628733998,0.4664914586070959,0.4849726775956284,0.5427069645203679
"[2, 0, 0, 0, 1, 4, 0, 0, 0, 21, 0, 0, 2, 1, 0, 0, 2, 1, 0, 0, 1, 4, 0, 0, 8, 1, 1, 0, 8, 2, 1, 0, 2, 1, 0, 0, 0, 16, 1, 0, 0, 14, 0, 0, 5, 0, 0, 0]",0.6926676702499389,0.5,0.5045336787564767,0.511826544021025,0.5081539465101109,0.4973718791064389
"[2, 1, 0, 0, 2, 1, 0, 0, 7, 0, 0, 0, 0, 26, 1, 0, 0, 30, 0, 0, 4, 475, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 4, 166, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0]",0.6932579684257507,0.5,0.49039200614911604,0.4191852825229961,0.45200141693234147,0.5643889618922471
"[7, 0, 0, 0, 1, 4, 0, 0, 3, 0, 0, 0, 0, 22, 1, 0, 1, 22, 0, 0, 7, 0, 0, 0, 0, 21, 1, 0, 2, 0, 0, 0, 4, 44, 0, 0, 4, 321, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0]",0.6934136819839477,0.5,0.5050573162508429,0.4921156373193167,0.49850249584026624,0.5177398160315374
"[7, 0, 0, 0, 3, 0, 0, 0, 4, 426, 0, 0, 1, 4, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 4, 502, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 7, 0, 0, 0, 4, 337, 0, 0]",0.6932866644859313,0.5,0.5080753701211306,0.49605781865965837,0.5019946808510638,0.5197109067017083
"[2, 1, 0, 0, 2, 1, 0, 0, 7, 0, 0, 0, 2, 1, 0, 0, 7, 0, 0, 0, 6, 50, 2, 0, 7, 0, 0, 0, 7, 0, 0, 0, 1, 4, 0, 0, 8, 2, 2, 0, 7, 0, 0, 0, 3, 0, 0, 0]",0.7102506089210511,0.5,0.5085714285714286,0.46780551905387646,0.487337440109514,0.5479632063074902
